"mrun","rbd_cc","preferencia_postulante"
485075,"31342_131000000133",1
485075,"365_131000000133",2
485075,"356_131000000133",3
485075,"342_131000000133",4
485075,"341_131000000131",5
491631,"12891_711000000133",1
491631,"332_711000000133",2
493164,"283_131000000133",1
493164,"304_131000000133",2
493164,"285_131000000133",3
493164,"280_131000000133",4
493164,"10968_131000000133",5
493164,"286_131000000133",6
496599,"289_611000000133",1
498040,"12851_311000000133",1
498040,"12838_311000000133",2
498040,"240_311000000133",3
501767,"10967_131000000133",1
501767,"219_131000000133",2
501767,"10970_131000000133",3
501767,"217_131000000133",4
501767,"12961_131000000133",5
505338,"219_351052013133",1
505338,"10967_331000000133",2
505338,"220_351053015133",3
505338,"10970_351058034133",4
505338,"12961_331000000133",5
507151,"367_131000000133",1
507345,"336_231000000131",1
507345,"304_231000000133",2
507345,"12943_231000000123",3
507345,"12885_231000000133",4
507345,"31342_231000000133",5
507345,"10968_231000000133",6
507345,"284_231000000133",7
518427,"20478_131000000133",1
518427,"220_131000000133",2
518427,"10967_131000000133",3
520405,"253_711000000131",1
520405,"10962_711000000131",2
520405,"226_711000000133",3
521574,"253_711000000131",1
521574,"10963_711000000133",2
526201,"10968_351056027133",1
526201,"283_361061003133",2
526201,"304_331000000133",3
526201,"12935_331000000133",4
526201,"280_341041005133",5
529035,"12943_711000000123",1
529035,"12837_711000000133",2
529035,"341_711000000131",3
529035,"12963_711000000133",4
529035,"12868_711000000133",5
529035,"344_711000000131",6
529035,"12885_711000000133",7
529035,"317_711000000133",8
529134,"342_331000000133",1
529134,"341_331000000131",2
533923,"31340_231000000133",1
533923,"12885_231000000133",2
533923,"12970_231000000133",3
534813,"20478_351054018133",1
534813,"20478_351052013133",2
534813,"20478_351053014133",3
534813,"10970_351058034133",4
539368,"219_231000000133",1
539368,"220_231000000133",2
539368,"199_231000000133",3
542953,"287_231000000133",1
542953,"31345_231000000133",2
542953,"279_231000000133",3
542953,"283_231000000133",4
547296,"206_411000000133",1
547296,"205_411000000133",2
547388,"10968_131000000133",1
547388,"287_131000000133",2
547388,"279_131000000133",3
547388,"286_131000000133",4
547388,"283_131000000133",5
547388,"31345_131000000133",6
552391,"255_231000000133",1
552391,"217_231000000133",2
552391,"218_231000000133",3
552391,"20478_231000000133",4
552442,"304_231000000133",1
552442,"336_231000000131",2
