"rbd_cc","vacantes"
"377_211000000133",4
"377_311000000133",4
"377_411000000133",4
"377_511000000133",6
"377_611000000133",6
"10962_111000000131",105
"10962_211000000131",7
"10962_311000000131",7
"10962_411000000131",6
"10962_511000000131",4
"10962_611000000131",4
"10962_711000000131",5
"10962_811000000131",6
"10962_131000000133",9
"10962_231000000133",5
"10962_331000000133",6
"10962_431000000133",2
"10963_111000000132",90
"10963_211000000132",12
"10963_311000000133",8
"10963_411000000133",19
"10963_511000000133",20
"10963_611000000133",14
"10963_711000000133",36
"10963_811000000131",34
"10967_131000000133",148
"10967_231000000133",18
"10967_331000000133",13
"10967_341041005133",8
"10967_351055023133",0
"10967_431000000133",8
"10967_441041005133",5
"10967_451055023133",2
"10968_131000000133",186
"10968_231000000133",61
"10968_331000000133",8
"10968_351052013133",77
"10968_351056027133",136
"10968_431000000133",12
"10968_451052013133",89
"10968_451056027133",130
"10970_131000000133",297
"10970_231000000133",96
"10970_341041002133",0
"10970_341041005133",6
"10970_351058034133",7
"10970_441041002133",8
"10970_441041005133",27
"10970_451058034133",5
"12800_401000000132",27
"12800_501000000131",2
"12800_111000000132",5
"12800_211000000132",2
"12800_311000000132",7
"12800_411000000132",9
"12800_511000000131",9
"12800_611000000131",2
"12800_711000000131",4
"12800_811000000131",1
"12800_131000000133",5
"12800_231000000133",9
"12800_331000000133",3
"12800_431000000133",3
"12802_111000000111",44
"12802_211000000111",11
"12802_311000000111",12
"12802_411000000111",7
"12802_511000000111",10
"12802_611000000111",5
"12802_711000000111",6
"12802_811000000111",8
"12802_131000000111",11
"12802_231000000111",9
"12802_331000000111",6
"12802_431000000111",1
"12810_111000000133",157
"12810_211000000133",24
"12810_311000000133",32
"12810_411000000133",14
"12810_511000000133",29
"12810_611000000133",28
"12810_711000000133",14
"12810_811000000133",28
"12823_401000000132",40
"12823_501000000131",7
"12823_111000000133",48
"12823_211000000133",3
"12823_311000000133",15
"12823_411000000133",8
"12823_511000000133",10
"12823_611000000133",16
"12823_711000000133",5
"12823_811000000133",7
"12823_131000000133",39
"12823_231000000133",17
"12823_331000000133",10
"12823_431000000133",2
"12830_131000000133",176
"12830_231000000133",27
"12830_341041002133",5
"12830_341041005133",15
"12830_441041002133",3
"12830_441041005133",1
"12836_401000000133",90
"12836_501000000133",4
"12836_111000000133",21
"12836_211000000133",10
"12836_311000000133",5
"12836_411000000133",4
"12836_511000000133",8
"12836_611000000133",3
"12836_711000000133",2
"12836_811000000133",5
"12836_131000000133",19
"12836_231000000133",16
"12836_351052010133",3
"12836_351053014133",3
"12836_361061003133",2
"12836_451052010133",3
"12836_451053014133",3
"12836_461061003133",5
"12837_401000000131",35
"12837_501000000132",2
"12837_111000000132",0
"12837_211000000131",1
"12837_211000000132",1
"12837_311000000133",2
"12837_411000000133",7
"12837_511000000133",4
"12837_611000000133",7
"12837_711000000133",15
"12837_811000000133",9
"12837_131000000133",10
"12837_231000000133",18
"12837_331000000133",8
"12837_431000000133",0
"12838_401000000131",35
"12838_401000000132",35
"12838_501000000131",12
"12838_501000000132",13
