"rbd_cc","vacantes"
"12659_401000000133",15
"12659_501000000133",6
"12659_111000000133",17
"12659_211000000133",6
"12659_311000000133",2
"12659_411000000133",2
"12659_511000000133",0
"12659_611000000133",4
"12659_711000000133",3
"12659_811000000133",6
"12694_401000000133",25
"12694_501000000133",5
"12694_111000000133",15
"12694_211000000133",6
"12694_311000000133",6
"12694_411000000133",6
"12694_511000000133",10
"12694_611000000133",2
"12694_711000000133",6
"12694_811000000133",10
"12712_401000000133",70
"12712_501000000133",3
"12712_111000000133",14
"12712_211000000133",3
"12712_311000000133",8
"12712_411000000133",9
"12712_511000000133",6
"12712_611000000133",5
"12712_711000000133",6
"12712_811000000133",7
"12712_131000000133",23
"12712_231000000133",23
"12712_331000000133",8
"12712_351058033133",15
"12712_431000000133",15
"12712_451058033133",10
"12713_401000000133",64
"12713_501000000133",2
"12713_111000000133",24
"12713_211000000133",25
"12713_311000000133",19
"12713_411000000133",9
"12713_511000000133",26
"12713_611000000133",9
"12713_711000000133",15
"12713_811000000133",11
"12713_131000000133",14
"12713_231000000133",7
"12713_331000000133",14
"12713_431000000133",19
"12716_401000000133",105
"12716_501000000133",60
"12716_111000000133",49
"12716_211000000133",51
"12716_311000000133",40
"12716_411000000133",30
"12716_511000000133",20
"12716_611000000133",8
"12716_711000000133",7
"12716_811000000133",50
"12716_131000000133",80
"12716_231000000133",21
"12716_331000000133",2
"12716_341041005133",15
"12716_361064001133",17
"12716_361064008133",0
"12716_431000000133",6
"12716_441041005133",10
"12716_461064001133",16
"12716_461064008133",6
"12720_401000000133",27
"12720_501000000133",12
"12720_111000000133",10
"12720_211000000133",6
"12720_311000000133",7
"12720_411000000133",23
"12720_511000000133",3
"12720_611000000133",17
"12720_711000000133",5
"12720_811000000133",7
"12720_131000000133",0
"12720_231000000133",3
"12720_331000000133",12
"12720_431000000133",1
"30001_401000000133",35
"30001_501000000133",6
"30001_111000000133",1
"30001_211000000133",0
"30001_311000000133",0
"30001_411000000133",1
"30001_511000000133",1
"30001_611000000133",1
"30001_711000000133",0
"30001_811000000133",3
"30001_131000000133",4
"30001_231000000133",4
"30001_331000000133",2
"30001_431000000133",2
"30002_401000000132",33
"30002_501000000131",19
"30002_111000000132",15
"30002_211000000132",2
"30002_311000000132",6
"30002_411000000132",6
"30002_511000000131",3
"30002_611000000131",2
"30002_711000000131",6
"30002_811000000131",6
"30003_401000000133",25
"30003_501000000133",5
"30003_111000000133",11
"30003_211000000133",5
"30003_311000000133",2
"30003_411000000133",4
"30003_511000000133",2
"30003_611000000133",3
"30003_711000000133",8
"30003_811000000133",4
"30003_131000000133",18
"30003_231000000133",11
"30003_331000000133",9
"30003_431000000133",2
"30005_401000000231",30
"30005_401000000232",30
"30005_501000000231",28
"30005_501000000232",2
"30005_111000000133",39
"30005_211000000133",4
"30005_311000000133",5
"30005_411000000133",2
"30005_511000000133",8
"30005_611000000133",5
"30005_711000000133",8
"30005_811000000133",5
"30006_401000000131",35
"30006_401000000132",35
"30006_501000000131",21
"30006_501000000132",25
"30006_111000000132",58
"30006_211000000132",53
"30006_311000000133",27
"30006_411000000133",28
"30006_511000000133",32
"30006_611000000133",36
"30006_711000000133",14
"30006_811000000133",24
"30012_111000000133",27
"30012_211000000133",4
"30012_311000000133",6
"30012_411000000133",1
"30012_511000000133",3
"30012_611000000133",4
"30012_711000000133",10
"30012_811000000133",7
"31306_111000000132",25
"31306_211000000132",5
"31306_311000000132",11
"31306_411000000131",11
"31306_511000000131",21
"31306_611000000131",17
"40230_401000000133",40
"40230_501000000133",6
"40230_111000000133",9
"40230_211000000133",8
"40230_311000000133",5
"40230_411000000133",1
"40230_511000000133",41
"40230_611000000133",0
"40230_711000000133",22
"40230_811000000133",1
"40230_131000000133",11
"40230_231000000133",10
"40230_351052010133",16
"40230_451052010133",4
"40395_111000000131",42
"40395_111000000132",42
"40395_211000000131",14
"40395_211000000132",24
"40395_311000000133",18
"40395_411000000133",13
"40395_511000000133",21
"40395_611000000133",15
"40395_711000000133",6
"40395_811000000133",15
