"mrun","rbd_cc","preferencia_postulante"
1496431,"24316_361061003133",1
1496431,"8427_351058035133",2
1496431,"8430_361063009133",3
1506369,"11680_411000000133",1
1506369,"24327_411000000133",2
1506369,"24307_411000000233",3
1512389,"8458_511000000133",1
1512389,"24307_511000000233",2
1512389,"8448_511000000133",3
1527951,"8457_361064001113",1
1527951,"8458_331000000133",2
1527951,"24327_331000000133",3
1527951,"8474_331000000133",4
1538289,"24317_131000000133",1
1538289,"8421_131000000133",2
1546920,"24327_511000000133",1
1546920,"24305_511000000133",2
1546920,"24307_511000000233",3
1546920,"24329_511000000123",4
1546920,"11680_511000000133",5
1546920,"8458_511000000133",6
1546920,"24313_511000000133",7
1546920,"8434_511000000133",8
1551657,"24307_131000000133",1
1551657,"8429_131000000133",2
1551657,"24327_131000000133",3
1574448,"24327_411000000133",1
1574448,"11680_411000000133",2
1574448,"24313_411000000133",3
1587397,"24329_131000000123",1
1587397,"8454_131000000123",2
1589123,"11680_611000000133",1
1589123,"24338_611000000133",2
1589123,"11678_611000000133",3
1619869,"11678_811000000133",1
1619869,"24327_811000000133",2
1619869,"11680_811000000133",3
1635902,"8458_131000000133",1
1635902,"8442_131000000233",2
1638083,"11680_131000000133",1
1638083,"24307_131000000133",2
1663184,"24300_131000000133",1
1663184,"8411_131000000133",2
1686724,"11680_411000000133",1
1686724,"24305_411000000133",2
1686724,"24338_411000000133",3
1686724,"8439_411000000133",4
1700966,"24338_711000000133",1
1700966,"11678_711000000133",2
1700966,"24305_711000000133",3
1700966,"24327_711000000133",4
1700966,"24311_711000000133",5
1700966,"11680_711000000133",6
1700966,"24329_711000000123",7
1701294,"8424_131000000133",1
1701294,"24316_131000000133",2
1701294,"8427_131000000133",3
1717805,"8411_351052009133",1
1717805,"8411_351052010133",2
1717805,"24300_331000000133",3
1732149,"24338_131000000133",1
1732149,"24327_131000000133",2
1732149,"11680_131000000133",3
1732149,"24307_131000000133",4
1732149,"24329_131000000123",5
1732974,"8411_131000000133",1
1732974,"24300_131000000133",2
1776121,"8455_131000000113",1
1776121,"24305_131000000133",2
1776121,"11680_131000000133",3
1776121,"24327_131000000133",4
1806487,"8455_611000000113",1
1806487,"8457_611000000113",2
1806487,"24318_611000000133",3
1806487,"8436_611000000133",4
1806487,"24302_611000000133",5
1806487,"8435_611000000133",6
1815684,"24305_131000000133",1
1815684,"11680_131000000133",2
1815684,"24327_131000000133",3
1819006,"24307_131000000133",1
1819006,"11680_131000000133",2
1819006,"24305_131000000133",3
1819027,"8427_351052010133",1
1819027,"24316_351052010133",2
1819027,"8425_381081003133",3
1835160,"24305_611000000133",1
1835160,"8441_611000000133",2
1842193,"24316_131000000133",1
1842193,"8425_131000000133",2
1842193,"8429_131000000133",3
1842957,"11680_811000000133",1
1842957,"24327_811000000133",2
1844354,"24307_511000000233",1
1844354,"24305_511000000133",2
1844354,"8433_511000000133",3
1847482,"8449_711000000133",1
1847482,"24307_711000000133",2
1847482,"8442_711000000133",3
1854333,"8457_231000000113",1
1854333,"8455_231000000113",2
1854333,"8430_231000000133",3
1878634,"24307_131000000133",1
1878634,"8429_131000000133",2
1878634,"8430_131000000133",3
1878634,"8424_131000000133",4
1888810,"24327_411000000133",1
1888810,"8455_411000000113",2
1894021,"24317_711000000133",1
1894021,"8421_711000000133",2
1894021,"8422_711000000113",3
1894021,"8417_711000000133",4
1904695,"8458_511000000133",1
1904695,"24311_511000000133",2
1907424,"8434_511000000133",1
1924766,"11680_711000000133",1
1924766,"8454_711000000123",2
1930001,"11680_131000000133",1
1930001,"24305_131000000133",2
1939722,"8444_611000000133",1
1939722,"24313_611000000133",2
1939722,"8439_611000000133",3
1940022,"11680_711000000133",1
1940022,"24338_711000000133",2
1940022,"24327_711000000133",3
1940022,"24305_711000000133",4
1945837,"8427_131000000133",1
1945837,"8454_131000000123",2
1945837,"8424_131000000133",3
1953365,"24327_131000000133",1
1953365,"24307_131000000133",2
1953365,"11680_131000000133",3
1953365,"8454_131000000123",4
1956356,"24329_131000000123",1
1956356,"24327_131000000133",2
1956356,"8454_131000000123",3
1962105,"24305_411000000133",1
1962105,"8455_411000000113",2
1962105,"24307_411000000233",3
1962105,"24327_411000000133",4
1962105,"8457_411000000113",5
1962105,"8444_411000000133",6
1964844,"8421_231000000133",1
1964844,"8411_231000000133",2
1964844,"24300_231000000133",3
1965955,"24305_231000000133",1
1965955,"8455_231000000113",2
1965955,"24307_231000000133",3
1965955,"11680_231000000133",4
1965955,"8474_231000000133",5
1967026,"8411_131000000133",1
1967026,"24300_131000000133",2
1967855,"24316_131000000133",1
1967855,"8454_131000000123",2
1967855,"8427_131000000133",3
1968719,"24327_131000000133",1
1968719,"11680_131000000133",2
1968719,"24305_131000000133",3
1968719,"24307_131000000133",4
1969384,"24305_711000000133",1
1969384,"24327_711000000133",2
1969384,"11680_711000000133",3
1983019,"11680_511000000133",1
1983019,"24305_511000000133",2
1983019,"24327_511000000133",3
2003956,"24327_411000000133",1
2003956,"11680_411000000133",2
2003956,"24307_411000000233",3
2003956,"24305_411000000133",4
2003956,"24311_411000000133",5
2003956,"24302_411000000133",6
2023307,"11680_131000000133",1
2023307,"24305_131000000133",2
2023307,"24327_131000000133",3
2029079,"11680_511000000133",1
2029079,"24307_511000000233",2
2035346,"24305_411000000133",1
2035346,"8454_411000000123",2
2035779,"11680_511000000133",1
2035779,"24307_511000000233",2
2035779,"24305_511000000133",3
2035779,"24327_511000000133",4
2037386,"8411_131000000133",1
2037386,"24300_131000000133",2
2042853,"8457_511000000113",1
2042853,"8438_511000000133",2
2042853,"24311_511000000133",3
2042853,"8444_511000000133",4
2043949,"11680_811000000133",1
2043949,"24327_811000000133",2
2043949,"24329_811000000123",3
2046020,"24338_131000000133",1
2046020,"8442_131000000233",2
2046020,"24305_131000000133",3
2052527,"24311_411000000133",1
2056611,"11680_411000000133",1
2056611,"24327_411000000133",2
2056611,"24305_411000000133",3
2058430,"24327_131000000133",1
2058430,"24305_131000000133",2
2058430,"24307_131000000133",3
2061708,"8457_711000000113",1
2061708,"24305_711000000133",2
2061708,"24302_711000000133",3
2063087,"24327_611000000133",1
2063087,"8455_611000000113",2
2069154,"11680_711000000133",1
2069154,"24338_711000000133",2
2069154,"24305_711000000133",3
2069154,"11678_711000000133",4
2069154,"8455_711000000113",5
2070515,"24338_811000000133",1
2070515,"24305_811000000133",2
2070515,"11680_811000000133",3
2070515,"11678_811000000133",4
