"rbd_cc","seats_total","seats_regular","seats_priority","seats_high_performance","seats_female"
"24305_131000000133",3,1,1,0,1
"24305_231000000133",2,0,1,0,1
"24305_331000000133",3,1,1,0,1
"24305_431000000133",1,1,0,0,0
"24307_401000000232",64,16,19,10,19
"24307_501000000231",4,1,1,1,1
"24307_111000000231",7,2,2,1,2
"24307_211000000231",3,1,1,0,1
"24307_311000000233",10,2,3,2,3
"24307_411000000233",2,0,1,0,1
"24307_511000000233",24,6,7,4,7
"24307_611000000233",13,3,4,2,4
"24307_711000000133",6,1,2,1,2
"24307_811000000133",12,2,4,2,4
"24307_131000000133",13,3,4,2,4
"24307_231000000133",2,0,1,0,1
"24307_331000000133",4,1,1,1,1
"24307_431000000133",8,3,2,1,2
"24311_401000000232",25,5,8,4,8
"24311_501000000231",3,1,1,0,1
"24311_111000000232",7,2,2,1,2
"24311_211000000231",2,0,1,0,1
"24311_311000000133",2,0,1,0,1
"24311_411000000133",4,1,1,1,1
"24311_511000000133",4,1,1,1,1
"24311_611000000133",6,1,2,1,2
"24311_711000000133",13,3,4,2,4
"24311_811000000133",11,3,3,2,3
"24313_401000000131",31,8,9,5,9
"24313_401000000132",31,8,9,5,9
"24313_501000000131",11,3,3,2,3
"24313_501000000132",18,5,5,3,5
"24313_111000000131",25,5,8,4,8
"24313_211000000131",20,5,6,3,6
"24313_311000000133",19,4,6,3,6
"24313_411000000133",21,6,6,3,6
"24313_511000000133",19,4,6,3,6
"24313_611000000133",28,8,8,4,8
"24313_711000000133",16,4,5,2,5
"24313_811000000133",25,5,8,4,8
"24316_131000000133",118,30,35,18,35
"24316_231000000133",4,1,1,1,1
"24316_341041005133",2,0,1,0,1
"24316_351052010133",0,0,0,0,0
"24316_351053014133",0,0,0,0,0
"24316_361061003133",2,0,1,0,1
"24316_361063011133",1,1,0,0,0
"24316_441041005133",0,0,0,0,0
"24316_451052010133",2,0,1,0,1
"24316_451053014133",3,1,1,0,1
"24316_461061003133",3,1,1,0,1
"24316_461063009133",3,1,1,0,1
"24316_461063011133",2,0,1,0,1
"24317_401000000133",32,7,10,5,10
"24317_501000000133",1,1,0,0,0
"24317_111000000131",0,0,0,0,0
"24317_211000000131",1,1,0,0,0
"24317_311000000133",0,0,0,0,0
"24317_411000000133",0,0,0,0,0
"24317_511000000133",0,0,0,0,0
"24317_611000000133",0,0,0,0,0
"24317_711000000133",0,0,0,0,0
"24317_811000000133",0,0,0,0,0
"24317_131000000133",4,1,1,1,1
"24317_231000000133",0,0,0,0,0
"24317_331000000133",0,0,0,0,0
"24317_431000000133",0,0,0,0,0
"24318_401000000132",50,12,15,8,15
"24318_501000000131",16,4,5,2,5
"24318_111000000133",21,6,6,3,6
"24318_211000000133",9,2,3,1,3
"24318_311000000133",7,2,2,1,2
"24318_411000000133",5,0,2,1,2
"24318_511000000133",12,2,4,2,4
"24318_611000000133",6,1,2,1,2
"24318_711000000133",10,2,3,2,3
"24318_811000000133",11,3,3,2,3
"24322_111000000133",3,1,1,0,1
"24322_211000000133",0,0,0,0,0
"24322_311000000133",0,0,0,0,0
"24322_411000000133",1,1,0,0,0
"24322_511000000133",1,1,0,0,0
"24322_611000000133",2,0,1,0,1
"24322_711000000133",2,0,1,0,1
"24322_811000000133",1,1,0,0,0
"24325_111000000133",2,0,1,0,1
"24325_211000000133",2,0,1,0,1
"24325_311000000133",2,0,1,0,1
"24325_411000000133",2,0,1,0,1
"24325_511000000133",2,0,1,0,1
"24325_611000000133",0,0,0,0,0
"24325_711000000133",1,1,0,0,0
"24325_811000000133",0,0,0,0,0
"24327_401000000132",40,10,12,6,12
"24327_501000000131",10,2,3,2,3
"24327_111000000133",5,0,2,1,2
"24327_211000000133",2,0,1,0,1
"24327_311000000133",2,0,1,0,1
"24327_411000000133",1,1,0,0,0
"24327_511000000133",2,0,1,0,1
"24327_611000000133",1,1,0,0,0
"24327_711000000133",0,0,0,0,0
"24327_811000000133",0,0,0,0,0
"24327_131000000133",42,10,13,6,13
"24327_231000000133",3,1,1,0,1
"24327_331000000133",4,1,1,1,1
"24327_431000000133",1,1,0,0,0
"24329_401000000121",60,15,18,9,18
"24329_501000000121",35,10,10,5,10
"24329_111000000123",29,7,9,4,9
"24329_211000000123",39,9,12,6,12
"24329_311000000123",22,5,7,3,7
"24329_411000000123",12,2,4,2,4
"24329_511000000123",15,5,4,2,4
"24329_611000000123",3,1,1,0,1
"24329_711000000123",15,5,4,2,4
"24329_811000000123",20,5,6,3,6
"24329_131000000123",64,16,19,10,19
"24329_231000000123",20,5,6,3,6
"24329_331000000123",43,11,13,6,13
"24329_431000000123",20,5,6,3,6
"24338_401000000131",15,5,4,2,4
"24338_401000000132",15,5,4,2,4
"24338_501000000131",0,0,0,0,0
"24338_501000000132",3,1,1,0,1
"24338_111000000133",4,1,1,1,1
"24338_211000000133",2,0,1,0,1
"24338_311000000133",5,0,2,1,2
"24338_411000000133",1,1,0,0,0
"24338_511000000133",4,1,1,1,1
"24338_611000000133",6,1,2,1,2
"24338_711000000133",3,1,1,0,1
"24338_811000000133",5,0,2,1,2
"24338_131000000133",5,0,2,1,2
"24338_231000000133",2,0,1,0,1
"24338_331000000133",0,0,0,0,0
"24338_431000000133",0,0,0,0,0
"24341_111000000133",3,1,1,0,1
"24341_211000000133",4,1,1,1,1
"24341_311000000133",3,1,1,0,1
"24341_411000000133",3,1,1,0,1
"24341_511000000133",2,0,1,0,1
"24341_611000000133",0,0,0,0,0
"24341_711000000133",0,0,0,0,0
"24341_811000000133",0,0,0,0,0
