"mrun","rbd_cc","preferencia_postulante"
120119,"579_131000000133",4
120119,"11145_131000000133",5
120119,"40298_131000000133",6
120119,"13604_131000000133",7
120119,"11105_131000000133",8
123389,"40029_131000000133",1
123389,"690_131000000133",2
123389,"13606_131000000133",3
123549,"13396_511000000131",1
123549,"528_511000000133",2
123731,"573_131000000133",1
123731,"517_131000000133",2
123731,"526_131000000133",3
124500,"650_711000000133",1
124500,"648_711000000133",2
124500,"649_711000000133",3
124500,"13621_711000000133",4
124500,"13361_711000000133",5
124500,"11133_711000000131",6
124500,"40189_711000000133",7
124800,"769_411000000133",1
124800,"763_411000000133",2
124800,"766_411000000133",3
124800,"13513_411000000133",4
124800,"721_411000000133",5
127738,"13420_131000000133",1
127738,"574_131000000123",2
127738,"13344_131000000133",3
128092,"13356_131000000133",1
128092,"13360_131000000133",2
128092,"13388_131000000233",3
128092,"12779_131000000133",4
128092,"11157_131000000133",5
128092,"573_131000000133",6
128092,"13305_131000000133",7
128092,"13372_131000000133",8
128653,"609_131000000133",1
128653,"649_131000000133",2
128653,"13558_131000000133",3
128653,"648_131000000133",4
131134,"11139_131000000133",1
131134,"13582_131000000133",2
133356,"12779_411000000133",1
133356,"13305_411000000133",2
133356,"40231_411000000133",3
133518,"13442_811000000133",1
133518,"647_811000000133",2
133518,"13314_811000000133",3
133518,"655_811000000133",4
133872,"13314_511000000133",1
133872,"13442_511000000133",2
133872,"13341_511000000133",3
133872,"13324_511000000133",4
137184,"13576_361064001133",1
137184,"13384_331000000133",2
137184,"567_331000000133",3
137184,"11155_351051009133",4
137397,"13542_611000000133",1
137397,"11106_611000000133",2
137397,"767_611000000133",3
137397,"769_611000000133",4
137397,"13513_611000000133",5
139273,"1013_131000000133",1
139273,"1036_131000000133",2
139273,"13383_131000000133",3
146591,"31194_131000000133",1
146591,"13503_131000000133",2
146591,"526_131000000133",3
146591,"13330_131000000131",4
146991,"987_711000000133",1
146991,"11130_711000000133",2
148897,"579_231000000133",1
148897,"517_231000000133",2
149134,"648_511000000133",1
149134,"650_511000000133",2
149134,"649_511000000133",3
149134,"40033_511000000133",4
149607,"802_131000000133",1
149607,"13427_131000000133",2
149607,"13513_131000000133",3
149807,"704_131000000133",1
149807,"705_131000000133",2
149807,"701_131000000133",3
149807,"768_131000000113",4
149863,"11106_811000000133",1
149863,"769_811000000133",2
149863,"704_811000000133",3
149863,"767_811000000133",4
149863,"959_811000000133",5
149865,"13565_611000000133",1
149865,"567_611000000133",2
149865,"13344_611000000133",3
149865,"13376_611000000133",4
150170,"13561_131000000133",1
150170,"13558_131000000133",2
150170,"13314_131000000133",3
150170,"611_131000000133",4
150170,"516_131000000133",5
150170,"583_131000000133",6
151899,"589_131000000133",1
151899,"13360_131000000133",2
151899,"13356_131000000133",3
151899,"13388_131000000233",4
151899,"573_131000000133",5
151899,"13361_131000000133",6
153394,"1013_131000000133",1
153394,"40319_131000000133",2
155083,"13314_131000000133",1
155083,"13442_131000000133",2
155083,"13561_131000000133",3
156085,"575_711000000113",1
156085,"13373_711000000133",2
156085,"13489_711000000113",3
156085,"13330_711000000131",4
156085,"12779_711000000133",5
156085,"31194_711000000133",6
156085,"573_711000000133",7
