"rbd_cc","vacantes"
"724_611000000133",5
"725_401000000133",30
"725_501000000133",23
"725_111000000133",21
"725_211000000133",17
"725_311000000133",16
"725_411000000133",10
"725_511000000133",13
"725_611000000133",14
"725_711000000133",17
"725_811000000133",12
"726_111000000133",5
"726_211000000133",5
"726_311000000133",5
"726_411000000133",5
"726_511000000133",5
"726_611000000133",5
"727_111000000133",3
"727_211000000133",3
"727_311000000133",2
"727_411000000133",2
"727_511000000133",3
"727_611000000133",3
"728_111000000133",5
"728_211000000133",5
"728_311000000133",5
"728_411000000133",5
"728_511000000133",4
"728_611000000133",4
"729_401000000133",10
"729_501000000133",8
"729_111000000133",4
"729_211000000133",4
"729_311000000133",3
"729_411000000133",3
"729_511000000133",7
"729_611000000133",6
"729_711000000133",8
"729_811000000133",6
"730_401000000133",15
"730_501000000133",2
"730_111000000133",17
"730_211000000133",17
"730_311000000133",15
"730_411000000133",6
"730_511000000133",11
"730_611000000133",14
"730_711000000133",13
"730_811000000133",15
"731_401000000133",14
"731_501000000133",13
"731_111000000133",12
"731_211000000133",14
"731_311000000133",13
"731_411000000133",13
"731_511000000133",11
"731_611000000133",12
"731_711000000133",26
"731_811000000133",26
"733_401000000133",15
"733_501000000133",13
"733_111000000133",5
"733_211000000133",7
"733_311000000133",3
"733_411000000133",2
"733_511000000133",7
"733_611000000133",3
"733_711000000133",10
"733_811000000133",5
"735_111000000133",5
"735_211000000133",5
"735_311000000133",4
"735_411000000133",3
